idxcell,idycell,idzcell,Tinit
7,45,1,326.85366723
1,46,1,330.0248538815
2,46,1,331.47356856075
3,46,1,333.6247812955
4,46,1,334.10469288499996
5,46,1,332.6385180565
6,46,1,329.04343521274996
7,46,1,326.6919407315
1,47,1,330.516913851
2,47,1,331.70337972224996
3,47,1,333.597728944
4,47,1,334.06586734024995
5,47,1,332.54283852375
6,47,1,328.987113493
7,47,1,326.7146723245
1,48,1,330.764586652
2,48,1,331.80090852325
3,48,1,333.5373872385
4,48,1,333.95553982375003
5,48,1,332.34021838
6,48,1,328.7811421275
7,48,1,326.55538306
1,49,1,330.147980315
2,49,1,331.45946608825
3,49,1,333.43564317825
4,49,1,333.75225369225
5,49,1,331.999006217
6,49,1,328.1957907535
7,49,1,325.7977419625
1,50,1,329.762490234
2,50,1,331.22933351675
3,50,1,333.291966156
4,50,1,333.439165366
5,50,1,331.491423822
6,50,1,327.47528167425
7,50,1,324.958290924
1,51,1,329.681082979
2,51,1,331.14842909799995
3,51,1,333.09047334875
4,51,1,332.9837009625
5,51,1,330.79923555225
6,51,1,326.66056387075
7,51,1,324.1248870815
1,52,1,329.59342514
2,52,1,331.0404590435
3,52,1,332.815755695
4,52,1,332.41072163975
5,52,1,329.9310970395
6,52,1,325.6137553335
7,52,1,323.04274142450004
1,53,1,329.495771717
2,53,1,330.90889786774994
3,53,1,332.4177342895
4,53,1,331.599046522
5,53,1,328.82401332375
6,53,1,324.23141673775
7,53,1,321.4994553115
1,54,1,329.3756072155
2,54,1,330.636600997
3,54,1,331.740068011
4,54,1,330.5247699675
5,54,1,327.57235204175004
6,54,1,322.82304765599997
7,54,1,319.96838992000005
1,55,1,329.232440124
2,55,1,330.1297411485
3,55,1,330.74814510875
4,55,1,329.36233779725
5,55,1,326.40481856225
6,55,1,321.94609551100007
7,55,1,319.33798144750006
1,56,1,329.08757554650003
2,56,1,329.55125798949996
3,56,1,329.628328421
4,56,1,328.1642135645
5,56,1,325.3874430275
6,56,1,321.48735839949995
7,56,1,319.28654146350004
1,57,1,328.9535748695
2,57,1,329.035420965
3,57,1,328.617781066
4,57,1,327.09118956225
5,57,1,324.54306350725
6,57,1,321.1345251335
7,57,1,319.2470073055
1,58,1,328.8297997695
2,58,1,328.61983129375
3,58,1,327.82498455775
4,58,1,326.242774656
5,58,1,323.86745384375
6,58,1,320.851245786
7,58,1,319.213026899
1,59,1,328.715899171
2,59,1,328.30384673275
3,59,1,327.22220014625
4,59,1,325.57764278474997
5,59,1,323.33820912249996
6,59,1,320.62844243475
7,59,1,319.183146196
1,60,1,328.611219274
2,60,1,328.05623137425
3,60,1,326.76460386275
4,60,1,325.068673943
5,60,1,322.935125396
6,60,1,320.45869128825
7,60,1,319.1565154195
1,61,1,328.514685036
2,61,1,327.8590936225
3,61,1,326.417217996
4,61,1,324.68383624175
5,61,1,322.63158658825
6,61,1,320.32947661525
7,61,1,319.1325187545
1,62,1,328.42573474
2,62,1,327.700092561
3,62,1,326.15495616725
4,62,1,324.39729724525
5,62,1,322.40520679325
6,62,1,320.23100817475006
7,62,1,319.110735301
1,63,1,328.34423793400003
2,63,1,327.56954437925003
3,63,1,325.95291055474996
4,63,1,324.180474983
5,63,1,322.23524243275006
6,63,1,320.15568897375
7,63,1,319.090872763
1,64,1,328.2698042395
2,64,1,327.46159003900004
3,64,1,325.794295153
4,64,1,324.01142521199995
5,64,1,322.103646065
6,64,1,320.09620244025
7,64,1,319.07274870699996
1,65,1,328.2019810185
2,65,1,327.37071562150004
3,65,1,325.667852375
4,65,1,323.8770763835
5,65,1,321.99735877625
6,65,1,320.0465459575
7,65,1,319.056272604
1,66,1,328.14044149100005
2,66,1,327.29346103425
3,66,1,325.5659677195
4,66,1,323.7692369005
5,66,1,321.9104081655
6,66,1,320.004588439
7,66,1,319.0413794865
1,67,1,328.0849759365
2,67,1,327.226504358
3,67,1,325.4814092875
4,67,1,323.68225921975
5,67,1,321.84057974875
6,67,1,319.96972315824996
7,67,1,319.02801946299996
1,68,1,328.035274887
2,68,1,327.16798029775
3,68,1,325.4102615045
4,68,1,323.612397118
5,68,1,321.7861565705
6,68,1,319.94173415874997
7,68,1,319.016112112
1,69,1,327.9909925895
2,69,1,327.11856738125
3,69,1,325.354430699
4,69,1,323.55979181375
5,69,1,321.746325077
6,69,1,319.92067172425
7,69,1,319.005557697
1,70,1,327.9521080185
2,70,1,327.0780946605
3,70,1,325.3138698335
4,70,1,323.52426607525
5,70,1,321.7194961525
6,70,1,319.90523415124994
7,70,1,318.9963497835
1,71,1,327.919018658
2,71,1,327.04488698775
3,71,1,325.284328836
4,71,1,323.50131913175
