idxcell,idycell,idzcell,x_center_um,y_center_um,z_center_um,region_type,temperature_K,cell_volume_um3
6,46,1,0.019,0.099,0.005,Z-,329.04343521274996,4.0000000000000074e-08
7,46,1,0.025,0.099,0.005,X+,326.6919407315,2.0000000000000015e-07
1,47,1,0.005,0.101,0.005,X-,330.516913851,1.999999999999988e-07
2,47,1,0.011,0.101,0.005,Z-,331.70337972224996,3.999999999999976e-08
3,47,1,0.013000000000000001,0.101,0.005,Z-,333.597728944,3.999999999999976e-08
4,47,1,0.015,0.101,0.005,Z-,334.06586734024995,3.999999999999976e-08
5,47,1,0.017,0.101,0.005,Z-,332.54283852375,3.999999999999973e-08
6,47,1,0.019,0.101,0.005,Z-,328.987113493,3.9999999999999796e-08
7,47,1,0.025,0.101,0.005,X+,326.7146723245,1.9999999999999877e-07
1,48,1,0.005,0.103,0.005,X-,330.764586652,2.000000000000002e-07
2,48,1,0.011,0.103,0.005,Z-,331.80090852325,4.000000000000004e-08
3,48,1,0.013000000000000001,0.103,0.005,Z-,333.5373872385,4.000000000000004e-08
4,48,1,0.015,0.103,0.005,Z-,333.95553982375003,4.000000000000004e-08
5,48,1,0.017,0.103,0.005,Z-,332.34021838,4e-08
6,48,1,0.019,0.103,0.005,Z-,328.7811421275,4.0000000000000074e-08
7,48,1,0.025,0.103,0.005,X+,326.55538306,2.0000000000000015e-07
1,49,1,0.005,0.105,0.005,X-,330.147980315,2.000000000000002e-07
2,49,1,0.011,0.105,0.005,Z-,331.45946608825,4.000000000000004e-08
