# Xmin Xmax Ymin Ymax Zmin Zmax P_W_m3
0.01 0.012 0.118 0.12 0.05 0.06 1.10704887128e+17
0.01 0.012 0.118 0.12 0.06 0.07 1.10704887128e+17
0.01 0.012 0.118 0.12 0.07 0.08 1.10704887128e+17
0.01 0.012 0.12 0.122 0.01 0.02 5.42056357135e+16
0.01 0.012 0.12 0.122 0.02 0.03 5.42056357135e+16
0.01 0.012 0.12 0.122 0.03 0.04 5.42056357135e+16
0.01 0.012 0.12 0.122 0.04 0.05 5.42056357135e+16
0.01 0.012 0.12 0.122 0.05 0.06 5.42056357135e+16
0.01 0.012 0.12 0.122 0.06 0.07 5.42056357135e+16
0.01 0.012 0.12 0.122 0.07 0.08 5.42056357135e+16
0.01 0.012 0.122 0.124 0.01 0.02 2.71260965158e+16
0.01 0.012 0.122 0.124 0.02 0.03 2.71260965158e+16
0.01 0.012 0.122 0.124 0.03 0.04 2.71260965158e+16
0.01 0.012 0.122 0.124 0.04 0.05 2.71260965158e+16
0.01 0.012 0.122 0.124 0.05 0.06 2.71260965158e+16
0.01 0.012 0.122 0.124 0.06 0.07 2.71260965158e+16
0.01 0.012 0.122 0.124 0.07 0.08 2.71260965158e+16
0.01 0.012 0.124 0.126 0.01 0.02 1.36709839733e+16
0.01 0.012 0.124 0.126 0.02 0.03 1.36709839733e+16
0.01 0.012 0.124 0.126 0.03 0.04 1.36709839733e+16
0.01 0.012 0.124 0.126 0.04 0.05 1.36709839733e+16
0.01 0.012 0.124 0.126 0.05 0.06 1.36709839733e+16
0.01 0.012 0.124 0.126 0.06 0.07 1.36709839733e+16
0.01 0.012 0.124 0.126 0.07 0.08 1.36709839733e+16
