# X Y Z T_K
0.012 0.044 0.06 327.951160776
0.012 0.044 0.07 327.94190016
0.012 0.044 0.08 327.940519139
0.012 0.046 0.01 328.386991059
0.012 0.046 0.02 328.42065642
0.012 0.046 0.03 328.411561507
0.012 0.046 0.04 328.413255073
0.012 0.046 0.05 328.381332998
0.012 0.046 0.06 328.402669303
0.012 0.046 0.07 328.426183853
0.012 0.046 0.08 328.381092128
0.012 0.048 0.01 328.960338863
0.012 0.048 0.02 328.967790867
0.012 0.048 0.03 328.936472436
0.012 0.048 0.04 328.976892479
0.012 0.048 0.05 328.938585382
0.012 0.048 0.06 328.963676937
0.012 0.048 0.07 329.006746878
0.012 0.048 0.08 328.946390239
0.012 0.05 0.01 329.694012022
0.012 0.05 0.02 329.723492811
0.012 0.05 0.03 329.718713195
0.012 0.05 0.04 329.753609706
0.012 0.05 0.05 329.713381702
0.012 0.05 0.06 329.692725377
